N,PMA,PAN,ELE,CLE,MAT,BIO,LES,ING,GLOBAL
111,1204,1084,1060,1132,1180,1180,1180,1210,1140
112,1084,1108,1228,1132,1150,1030,1180,1180,1137
113,1204,1204,1108,1036,1090,1090,1030,1300,1135
114,1132,1204,1156,1108,1150,1060,940,1240,1134
115,1228,1132,1084,1084,1150,1120,1060,1210,1133
116,1108,1084,1180,1228,1090,1060,1180,1030,1132
117,1204,1180,1084,1108,1150,1060,1090,1120,1132
118,1204,1036,1108,1108,1180,1060,1180,1270,1132
119,1180,1156,1036,1084,1210,1180,1000,1270,1129
120,1204,1036,1108,1084,1150,1120,1120,1300,1129
121,1084,1084,1180,1156,1090,1030,1090,1300,1126
122,1132,1156,1084,1108,1150,1150,1210,1030,1125
123,1228,1084,1108,1036,1120,1210,1180,1090,1125
124,1084,1036,1204,1132,1120,1210,1090,1150,1123
125,1180,1108,1036,1084,1180,1090,1120,1300,1123
126,1204,1156,1084,1228,1120,1060,880,1000,1122
127,1108,1084,1180,1156,1030,1150,1030,1180,1122
128,1204,1156,1132,1108,910,1060,1030,1210,1121
129,1228,1084,1204,1036,1180,1150,1060,940,1121
130,1060,1132,1132,1156,1060,1090,1180,1120,1118
131,1228,1132,1156,1036,1210,1090,910,1060,1117
132,1180,964,1084,1204,1120,1180,970,1270,1116
133,1132,1060,1084,1156,1060,1180,1120,1150,1114
134,1204,1012,1156,1036,1210,1030,1120,1210,1114
135,1180,1012,1060,1156,1210,940,1120,1270,1112
136,1132,1108,1132,1036,1120,1210,1030,1180,1112
137,1156,1012,1180,1036,1120,1060,1150,1270,1112
138,1156,1084,1156,1108,1090,970,1090,1150,1111
139,988,1084,1228,1084,1030,1120,1150,1270,1110
140,1156,1084,1132,1204,1180,1030,700,1180,1108
141,1252,1108,1108,1060,1150,850,1120,1090,1108
142,1228,1108,1204,916,1210,1060,940,1150,1107
143,1228,1036,1180,1132,1240,910,940,940,1103
144,1228,1132,1084,1060,1060,1000,1120,970,1099
145,1204,1252,1036,1084,1060,880,1030,970,1096
146,1132,1084,1108,1132,940,1060,970,1240,1096
147,1180,1012,1084,1108,1090,1060,1120,1090,1094
148,1108,1084,1132,1060,1030,1090,1120,1120,1094
149,1108,1180,1132,1036,1060,1060,1150,910,1093
150,1108,1108,1036,1084,1150,1120,1090,1090,1093
151,1084,1108,1132,1132,1060,1000,1030,1060,1091
152,1132,1084,1132,1060,1030,1030,1120,1060,1089
153,1132,1108,1132,1060,1090,1150,1030,880,1087
154,1036,1060,1156,1108,1060,1030,1060,1150,1086
155,1180,1036,1132,1060,1090,910,1030,1150,1085
156,1132,1084,1084,1156,970,1030,1120,940,1084
157,1228,1060,1108,1036,1150,940,1090,910,1082
158,1204,1012,1060,1108,1210,940,1060,970,1081
159,1132,1012,1132,1012,1120,1120,1090,1030,1077
160,1228,964,1084,1060,1180,1120,880,1030,1075
161,1180,1036,1084,1108,1060,1060,1060,820,1071
162,1204,1084,1060,916,1150,1120,1090,970,1071
163,1108,988,1084,1108,1000,1060,1150,1030,1068
164,1012,1036,1012,1132,1060,1120,970,1240,1063
165,988,1108,1012,1012,1090,1150,1060,1240,1062
166,1204,1132,1108,796,910,1240,1120,970,1060
167,1108,1084,1012,1084,1060,1060,1060,940,1059
168,1108,988,1108,1012,1150,1030,970,1120,1058
169,1228,1060,1060,1012,1090,940,760,1120,1056
170,1084,1012,1132,1060,948,1090,910,1120,1055
171,1036,1084,1012,1132,1000,1030,1060,940,1048
172,1060,916,1060,1132,1030,910,970,1300,1045
173,1036,1084,988,1132,940,1120,940,1000,1042
174,1036,1132,1036,988,1000,1000,940,1150,1040
175,988,1012,988,1036,1150,910,1120,1240,1036
176,1036,1036,1036,1036,1120,940,1090,970,1034
177,1156,1156,1132,1228,700,700,700,700,1028
178,1132,1060,1156,916,1060,940,730,1030,1028
179,1060,1132,940,964,1120,1060,940,970,1024
180,1036,964,1012,1060,1150,1000,1060,820,1015
181,1060,1012,1012,964,1120,970,1000,1000,1015
182,1048,940,1060,1036,1060,1030,700,1030,1008
183,1060,916,1060,1084,940,820,1030,1030,1008
184,1012,964,1012,1084,889,940,1060,970,1001
185,1012,892,1036,868,1120,1150,910,1240,998
186,964,1012,1036,1012,1000,940,1030,910,995
187,1132,988,1228,964,1000,700,700,700,987
188,1060,1036,1212,916,910,1030,910,580,982
189,916,820,1060,964,1150,1060,1060,940,974
190,1012,940,916,916,910,970,1030,940,951
191,940,1060,892,796,889,1060,1000,1090,948
192,940,892,964,940,1030,880,910,880,931
193,916,820,964,940,970,850,880,970,912
194,868,820,988,868,910,910,820,970,891
195,940,844,796,964,910,850,910,820,882
